汉语原文	人工翻译结果
人们可能想不到，旅行者在回程中也需要耐心和理解。	མི་རྣམས་ཀྱི་བསམ་ཡུལ་ལས་འདས་པ་ཞིག་ལ་ཡུལ་སྐོར་བ་ཕྱིར་ལོག་བྱེད་སྐབས་ཀྱང་ངང་རྒྱུད་རིང་པོ་དང་གོ་བ་ལེན་དགོས།
对儿童来说，金字塔的声光表演是该地区最有趣的活动之一。	བྱིས་པར་མཚོན་ན་གཏོར་གཟུགས་མཆོད་རྟེན་གྱི་སྒྲ་འོད་འཁྲབ་སྟོན་ནི་ས་ཁུལ་འདིའི་ཆེས་སྤྲོ་སྣང་ལྡན་པའི་བྱ་འགུལ་གྱི་གྲས་ཤིག་ཡིན།
2017 年年末，西米诺夫出现在 QVC 电视销售频道。	2017ལོའི་ལོ་མཇུག་ཏུ། ཤིས་མི་ནུའོ་ཕུའུ་QVCབརྙན་འཕྲིན་ཕྱིར་ཚོང་འཕྲིན་ལམ་ཐོག་ཐོན་ཡོད།
该团队正在寻找的效应可能是由星系暗物质和银河系暗物质之间的潮汐力引起的。	ཚོགས་པ་དེས་འཚོལ་བཞིན་པའི་ནུས་སྣང་ནི་སྐར་མའི་ཁྱིམ་རྒྱུད་ཀྱི་མུན་ནག་དངོས་པོ་དང་དགུ་ཚིགས་མ་ལག་གི་མུན་ནག་དངོས་པོའི་བར་གྱི་མཚོ་རླབས་ལས་བྱུང་བ་ཞིག་རེད།
你可以在黑暗中看到金字塔，在节目开始前你可以看到它们默默地在那里。	ཁྱོད་ཀྱིས་མུན་ནག་གི་ཁྲོད་ནས་གཏོར་གཟུགས་མཆོད་རྟེན་མཐོང་ཐུབ །ལེ་ཚན་མགོ་མ་བརྩམས་པའི་སྔོན་ལ་ཁྱོད་ཀྱིས་དེ་དག་ལྷིང་འཇགས་ངང་དེ་རུ་ཡོད་པ་མཐོང་ཐུབ།
平时你总能在这里听到游客和小摊贩的声音。声光交织，就像在讲述一个动人的故事。	དུས་རྒྱུན་དུ་ཁྱེད་ཀྱིས་འདི་ནས་ཡུལ་སྐོར་བ་དང་ཚོང་པ་ཆུང་ཆུང་གི་སྐད་སྒྲ་ཐོས་ཐུབ། སྐད་འོད་འདྲེས་པ་ནི་མི་སེམས་འགུལ་བའི་གཏམ་རྒྱུད་ཅིག་བཤད་པ་དང་མཚུངས།
背景幕布上是狮身人面像，它也是长篇故事的讲述者。	རྒྱབ་ལྗོངས་སྟེང་དུ་སེང་གེའི་ལུས་ལ་མིའི་ངོ་རིས་དང་།  དེ་ནི་སྒྲུང་རིང་གི་གཏམ་བཤད་པ་ཞིག་ཡིན།
南设得兰群岛（South Shetland Islands）发现于 1819 年。有几个国家声称拥有该群岛的主权，而且群岛拥有最多的基地，在 2020 年岛上有十六个基地处于使用状态。	ནན་ཧྲི་ཏི་ལན་གླིང་ཚོམ（South Shetland Islands）1819ལོར་རྙེད་པ་རེད། རྒྱལ་ཁབ་ཁ་ཤས་ཀྱིས་གླིང་ཕྲན་དེའི་བདག་དབང་ཡོད་ཅེས་བཤད་པ་རེད། གླིང་ཚོམ་ལ་རྟེན་གཞི་མང་ཤོས་ཡོད་པ་དང་། 2020ལོར་གླིང་ཕྲན་ཐོག་རྟེན་གཞི་བཅུ་དྲུག་བེད་སྤྱོད་བྱེད་པའི་གནས་སུ་གྱར་ཡོད།
该群岛位于南极半岛以北 120 公里处。最大的岛屿是乔治国王岛，这里是“繁星村（Villa Las Estrellas）”的定居点。	གླིང་ཕྲན་འདི་ནི་ལྷོ་སྣེ་གླིང་ཕྲན་གྱི་བྱང་ཕྱོགས་ཀྱི་སྤྱི་ལེ་120ཡི་མཚམས་ན་ཡོད། ཆེས་ཆེ་བའི་གླིང་ཕྲན་ནི་ཆོ་ཀྲིའི་རྒྱལ་པོའི་གླིང་ཕྲན་ཡིན་པ་དང་། འདི་ནི་“སྐར་ཚོགས་གྲོང་ཚོ་(VillaLasEstrellas)”ཡི་གཏན་སྡོད་བྱེད་ས་རེད།
其他的包括利文斯顿岛和欺骗岛。在那里，一个仍然活跃的火山口被洪水淹没，提供了一个壮观的天然港口。	གཞན་པའི་ཁོངས་སུ་ལེ་ཝུན་སི་ཏོན་དང་མགོ་སྐོར་གླིང་ཕྲན་འདུས།དེར་སྔར་བཞིན་འཁྲུག་ཆ་དོད་པའི་མེ་རི་ཞིག་ཆུ་ལོག་གིས་བསྣུབས་ནས་བརྗིད་ཉམས་ལྡན་པའི་རང་བྱུང་གྲུ་ཁ་ཞིག་མཁོ་འདོན་བྱས་པ་རེད།
埃尔斯沃思地 (Ellsworth Land) 位于该半岛的南部，面朝别林斯高晋海 (Bellingshausen Sea)。	ཨའེ་ཨེར་སི་ཝོ་སི་ཏི(Ellsworth Land)་ནི་གླིང་ཕྲན་དེའི་ལྷོ་ཕྱོགས་སུ་གནས་ཤིང་། ཁ་པེ་ལིན་སི་ཀའོ་ཅིན་མཚོ་ཕྱོགས་སུ་གཏད་ཡོད།(BellingshausenSea)
半岛上的山脉在这里并入高原，然后重新形成长达 360 公里的埃尔斯沃斯（Ellsworth）山脉，这座山脉被明尼苏达冰川一分为二。	ཕྱེད་གླིང་གི་རི་རྒྱུད་དེ་འདི་གར་ས་མཐོར་ཁྱབ་པ་དང་དེ་ནས་སྤྱི་ལེ་360ཟིན་པའི་ཨེ་ཨེར་སི་ཝོ་སི(Ellsworth)རི་རྒྱུད་དེ་མིང་ཉི་སུའུ་ཏ་འཁྱགས་རོམ་ནས་གཉིས་སུ་གྱེས་པ་རེད།
北部，或者说森蒂纳尔岭，拥有南极洲最高的山脉文森山脉，最高峰是 4892 米的文森峰。	བྱང་རྒྱུད་དམ་ཡང་ན་སེན་ཏི་ནར་ལིང་ལ་ལྷོ་སྣེ་གླིང་གི་རི་རྒྱུད་མཐོ་ཤོས་ཝུན་སེན་རི་རྒྱུད་ཡོད་པ་དང་རི་བོ་མཐོ་ཤོས་ནི་སྨི་4892ཡོད་པའི་ཝུན་སེན་རི་བོ་ཡིན་ཞིང་།
就像月球对地球施加拉力，引起潮汐一样，银河系也对人马座星系施加着作用力。	ཟླ་བའི་གོ་ལས་སའི་གོ་ལར་འཐེན་ཤུགས་བརྒྱབ་སྟབས། མཚོ་རླབས་བྱུང་བ་ལྟར། དགུ་ཚིགས་མ་ལག་གིས་ཀྱང་མིའི་སྐར་མའི་མ་ལག་ལ་ནུས་པ་འདོན་བཞིན་ཡོད།
在手机信号覆盖不到的偏远地区，卫星电话可能是你的唯一选择。	ལག་ཐོགས་ཁ་པར་གྱི་བརྡ་རྟགས་གང་སར་ཁྱབ་མི་ཐུབ་པའི་ཐག་རིང་ས་ཁུལ་དུ་སྲུང་སྐར་ཁ་པར་ནི་ཁྱེད་ཀྱི་གདམ་ག་འབའ་ཞིག་དེ་ཡིན་སྲིད།
一般来说，卫星电话不能取代移动电话，因为只有在卫星信号畅通的室外，才能进行通话。	སྤྱིར་བཤད་ན། འཁོར་སྐར་ཁ་པར་གྱིས་སྒུལ་བདེའི་ཁ་པར་གྱི་ཚབ་བྱེད་མི་ཐུབ། རྒྱུ་མཚན་ནི་འཁོར་སྐར་གྱི་བརྡ་རྟགས་ཤར་གཏོང་ཐུབ་པའི་ཕྱི་རོལ་ན་མ་གཏོགས་ཁ་པར་གཏོང་མི་ཐུབ།
该服务经常用于航运，包括游艇以及有远程数据和语音需求的探险。	ཞབས་ཞུ་འདི་རྒྱུན་པར་མཚོ་ཐོག་སྐྱེལ་འདྲེན་ལ་སྤྱོད།དེའི་ནང་དུ་གྲུ་གཟིངས་དང་རྒྱང་རིང་གི་གཞི་གྲངས་དང་སྐད་གདངས་ཀྱི་དགོས་མཁོ་ཡོད་པའི་མྱུལ་དཔྱད་སོགས་འདུ།
你当地的电话服务提供商应该能够提供关于连接到这项服务的详细信息。	ཁྱེད་ཀྱིས་ས་གནས་དེ་གའི་ཁ་པར་ཞབས་ཞུ་མཁོ་འདོན་བྱེད་མཁན་གྱིས་ཞབས་ཞུ་འདིའི་སྐོར་གྱི་ཞིབ་ཕྲའི་ཆ་འཕྲིན་མཁོ་འདོན་བྱེད་ཐུབ།
对于那些计划怎么度过空档年的人来说，游学成为越来越受欢迎的选择。	ཇི་ལྟར་སྟོང་ལོ་ལས་བརྒལ་བའི་འེར་གཞི་འགོད་མཁན་གྱི་མིའི་ངོས་ནས་བརྗོད་ན། ཡུལ་སྐོར་རིག་པ་ནི་དེ་བས་དགའ་བསུ་ཐོབ་པའི་གདམ་ག་ཞིག་ཏུ་གྱུར་ཡོད།
这在中学毕业生中尤其流行，他们可以在上大学前抽出一年的时间，又不影响他们接受教育。	དེ་ནི་སློབ་གྲྭ་འབྲིང་བ་ནས་ཐོན་པའི་སློབ་གྲྭ་བའི་ནང་ནས་ལྷག་པར་དུ་དར་ཁྱབ་ཆེ་བ་ཞིག་ཡིན་ཞིང་། ཁོ་ཚོས་སློབ་གྲྭ་ཆེ་བར་མ་བསྐྱོད་གོང་ནས་ལོ་གཅིག་གི་དུས་ཚོད་བཙལ་ཆོག་ལ། ཁོ་ཚོས་སློབ་གསོ་དང་ལེན་བྱེད་པར་ལ་ཡང་གནོད་པ་ཐེབས་མི་ཐུབ།
很多情况下，在国外参加间隔年课程可以实质上提升你回国升学的机会。	གནས་ཚུལ་མང་པོའི་འོག ཕྱི་རྒྱལ་དུ་བར་མཚམས་ལོ་རེའི་སློབ་ཚན་ནང་ཞུགས་ན་ངོ་བོའི་ཐོག་རང་རྒྱལ་ནང་དུ་ལོག་ནས་སློབ་རིམ་འཕར་བའི་གོ་སྐབས་ཡག་ཏུ་གཏོང་ཐུབ།
通常情况下，参加这些教育类项目需要交学费。	རྒྱུན་ལྡན་གྱི་གནས་ཚུལ་འོག་ཏུ་སློབ་གསོའི་རྣམ་གྲངས་འདི་དག་ལ་ཞུགས་པར་སློབ་ཡོན་སྤྲོད་དགོས།
芬兰是绝佳的帆船运动圣地， 素有“千湖之乡”的美誉 ，在其湖泊和沿海群岛范围内也含有数千座岛屿。	ཧྥིན་ལན་ནི་ཧ་ཅང་ལེགས་པའི་གཡོར་གྲུ་ལུས་རྩལ་གྱི་གནས་མཆོག་ཅིག་ཡིན་པ་དང“མཚེའུ་སྟོང་གི་ཕ་ཡུལ”ཞེས་པའི་མཚན་སྙན་ལྡན་ཡོད་ལ།དེའི་མཚོ་དང་མཚོ་རྒྱུད་ཀྱི་གླིང་ཕྲན་ཁྱབ་ཁོངས་སུ་ཡང་གླིང་ཕྲན་སྟོང་ཕྲག་ཁ་ཤས་ཡོད།
在群岛和湖泊之中，游艇并不是必需的。	གླིང་ཚོམ་དང་མཚེའུ་ཡི་ནང་དུ་སྤྲོ་གསེང་གྲུ་གཟིངས་གཏོང་རྒྱུ་ནི་དགོས་ངེས་ཤིག་མ་རེད།
科学家们可以得出结论，暗物质对其他暗物质的影响方式与普通物质相同。	ཚན་རིག་པ་རྣམས་ཀྱིས་སྡོམ་ཚིག་འཇོག་ཐུབ་པ་ནི།  ལྐོག་དངོས་ཀྱིས་དངོས་པོ་གཞན་ལ་ཐེབས་པའི་ཤུགས་རྐྱེན་གྱི་རྣམ་པ་ནི་སྤྱིར་བཏང་གི་དངོས་པོ་དང་གཅིག་མཚུངས་ཡིན།
沿海群岛和最大的几个湖泊的大小足以容纳任何游艇，不过较小的船只甚至皮划艇能带来不同的体验。	མཚོ་འགྲམ་གླིང་ཚོམ་དང་མཚོ་ཆེ་ཤོས་ཁ་ཤས་ཀྱི་ཆེ་ཆུང་ལ་སྤྲོ་གསེང་གྲུ་གཟིངས་གང་ཡང་ཤོང་གི་ཡོད་མོད།  འོན་ཀྱང་ཅུང་ཆུང་བའི་གྲུ་གཟིངས་ཀྱིས་ཐ་ན་ཀོ་ཤུད་གྲུ་ཡིས་ཉམས་ལེན་མི་འདྲ་བ་བྱེད་ཀྱི་ཡོད།
划船是芬兰的一项全国性消遣活动，每七八个人里就有一艘船。	གྲུ་གཏོང་བ་ནི་ཧྥིན་ལན་གྱི་རྒྱལ་ཡོངས་རང་བཞིན་གྱི་སྐྱོ་སངས་བྱེད་སྒོ་ཞིག་ཡིན། མི་བདུན་བརྒྱད་རེའི་ནང་གྲུ་གཅིག་ཡོད།
挪威、瑞典和新西兰也有类似的情况，但在其他方面很是独特（例如，在荷兰，这个数字是一比四十）。	ནོར་ཝེ་དང་།སུའེ་ཏེན།ནེའུ་ཙི་ལན་བཅས་ལའང་དེ་དང་འདྲ་བའི་གནས་ཚུལ་ཡོད་མོད།འོན་ཀྱང་ཕྱོགས་གཞན་དག་ཐད་དམིགས་བསལ་ཁྱད་ཆོས་ལྡན་ཡོད།(དཔེར་ན་ཧོ་ལན་དུ་གྲངས་ཀ་དེ་གཅིག་བསྡུར་བཞི་ཅུ་ཡིན།)
大多数典型的波罗的海游轮都会在俄罗斯圣彼得堡逗留较长时间。	པོའོ་ལོའོ་ཏི་རྒྱ་མཚོའི་སྤྲོ་སྐོར་གྲུ་གཟིངས་མང་ཆེ་བ་ཨུ་རུ་སུའི་ཧྲེང་པི་ཏེ་པའོ་རུ་ཡུན་རིང་ཙམ་སྡོད་ཀྱི་རེད།
这意味着可以有好几天完整时间来参观这座历史悠久的城市，然后晚上回到船上睡觉。	འདི་ཐོག་ནས་ཉིན་ཁ་ཤས་ཀྱི་དུས་ཚོད་ཆ་ཚང་བའི་སྒོ་ནས་ལོ་རྒྱུས་ཡུན་རིང་ལྡན་པའི་གྲོང་ཁྱེར་འདིར་ལྟ་སྐོར་དུ་ཡོང་བ་དང་།  དེ་ནས་དགོང་མོ་གྲུ་ཐོག་ལ་ལོག་ནས་ཉལ་ཐུབ་པ་མཚོན་གྱི་ཡོད།
如果只是在乘船游览的情况下登岸，则不需要单独的签证（规定截至 2009 年）。	གལ་ཏེ་གྲུ་གཟིངས་ལ་བསྡད་ནས་ལྟ་སྐོར་བྱེད་པའི་གནས་ཚུལ་འོག་ཏུ་གྲུ་ཁར་བསྐྱོད་ན་ཁེར་རྐྱང་གི་འཐུས་མཆན་འགོད་མི་དགོས།(2009ལོའི་བར་དུ་གཏན་འབེབས་བྱས་ཡོད།)
有些邮轮在宣传手册上以德国柏林为亮点。正如从上面地图中看到的那样，柏林并没有靠近大海的地方，而且游船价格并不包括游览这座城市的费用。	སྦྲག་སྐྱེལ་གྲུ་གཟིངས་ཁ་ཤས་དྲིལ་བསྒྲགས་ལག་དེབ་ཐོག་འཇར་མན་གྱི་པེར་ལིན་བཀྲག་མདངས་འཚེར་སར་བྱས་ཡོད།གོང་གི་ས་ཁྲ་ལས་མཐོང་བ་བཞིན།པོ་ལིན་ལ་རྒྱ་མཚོ་དང་ཐག་ཉེ་བའི་ས་ཆ་མེད་པ་མ་ཟད།ཡུལ་སྐོར་གྲུ་གཟིངས་ཀྱི་རིན་གོང་ནང་གྲོང་ཁྱེར་འདིར་ལྟ་སྐོར་བྱེད་པའི་རིན་པ་ཚུད་མེད།
对于各个年龄和背景的人来说，乘飞机旅行都可能成为恐怖的经历，尤其是在以前从未乘坐过飞机或有过痛苦经历的情况下。	ལོ་ན་ཆེ་ཆུང་སྣ་ཚོགས་དང་རྒྱབ་ལྗོངས་མི་འདྲ་བའི་མི་ཞིག་གི་ངོས་ནས་བཤད་ན།  གནམ་གྲུར་བསྡད་ནས་ཡུལ་སྐོར་བྱེད་པ་དེ་འཇིགས་སྐུལ་གྱི་བརྒྱུད་རིམ་ཞིག་ཏུ་འགྱུར་སྲིད།  ལྷག་པར་དུ་དེ་སྔ་གནམ་གྲུར་བསྡད་མ་མྱོང་བའམ་ཡང་ན་སྡུག་བསྔལ་གྱི་ཉམས་མྱོང་ཡོད་པའི་གནས་ཚུལ་འོག
这并不是丢人的事情：这和很多人对其他东西抱有的恐惧和厌恶没什么两样。	འདི་ནི་ངོ་ཚ་དགོས་པའི་བྱ་བ་ཞིག་མ་རེད།འདི་ནི་མི་མང་པོ་ཞིག་གིས་དངོས་པོ་གཞན་ལ་འཛིན་པའི་འཇིགས་སྣང་དང་སུན་སྣང་དང་ཁྱད་པར་ཅི་ཡང་མེད།
对一些人来说，如果要克服因未知事物或不可控制的状况而产生的恐惧，了解飞机的工作原理和飞行的程序可能会有帮助。	མི་ལ་ལར་མཚོན་ན། གལ་ཏེ་ཤེས་མེད་པའི་བྱ་དངོས་དང་ཡང་ན་ཚོད་འཛིན་བྱེད་མི་ཐུབ་པའི་གནས་ཚུལ་གྱི་རྐྱེན་ལས་བྱུང་བའི་འཇིགས་སྣང་སེལ་དགོས་ན། གནམ་གྲུའི་བྱ་བའི་རྩ་བའི་རིགས་པ་དང་འཕུར་སྐྱོད་གོ་རིམ་རྒྱུས་ལོན་བྱེད་ན་ཕན་ཐོགས་ཡོད་སྲིད།
该理论认为，一个星系周围的大多数暗物质都处在星系周围的某种光环中，由许多小粒子组成。	རིགས་པའི་གཞུང་ལུགས་དེའི་ངོས་འཛིན་ལྟར་ན།སྐར་མའི་ཁྱིམ་རྒྱུད་ཅིག་གི་མཐའ་འཁོར་གྱི་དངོས་པོ་མུན་ནག་ཅན་མང་ཆེ་བ་སྐར་མའི་ཁྱིམ་རྒྱུད་ཀྱི་མཐའ་འཁོར་དུ་གནས་པའི་འོད་སྐོར་ཞིག་གི་ནང་དུ་ཡོད་ཅིང་།དེ་ནི་གཞི་རྡུལ་ཆུང་ཆུང་མང་པོས་གྲུབ་པ་རེད།
快递公司可因快速交付货物而获取高酬劳。很多时候，时间对于商务文件、商品或用于紧急维修的零部件而言非常重要。	མྱུར་སྐྱེལ་ཀུང་སིས་མགྱོགས་མྱུར་ངང་དངོས་ཟོག་རྩིས་སྤྲོད་བྱས་པའི་རྐྱེན་གྱིས་གླ་ཆ་མཐོན་པོ་ལེན་ཐུབ།སྐབས་མང་པོ་ཞིག་ལ།དུས་ཚོད་ནི་ཚོང་དོན་ཡིག་ཆ་དང་ཚོང་རྫས་ཡང་ན་ཛ་དྲག་ངང་ཞིག་གསོ་བྱེད་པའི་ལྷུ་ལག་ལ་མཚོན་ན་ཧ་ཅང་གལ་ཆེ།
在某些航线上，大型公司有自己的飞机，但对于其他航线和小公司来说，就有问题了。	མཁའ་ལམ་ཁ་ཤས་ཐོག་ཀུང་སི་ཆེ་གྲས་ལ་རང་ཉིད་ཀྱི་གནམ་གྲུ་ཡོད་རུང་མཁའ་ལམ་གཞན་དང་ཀུང་སི་ཆུང་ཆུང་གི་ངོས་ནས་བརྗོད་ན་གནད་དོན་ཡོད་པ་རེད།
如果他们使用航空的方式运输货物，在某些航线上，可能要花几天的时间才能卸货和通关。	གལ་ཏེ་ཁོ་ཚོས་མཁའ་འགྲུལ་གྱི་ཐབས་ལ་བརྟེན་ནས་དངོས་ཟོག་སྐྱེལ་འདྲེན་བྱས་ན།  མཁའ་ལམ་ཁ་ཤས་སྟེང་དུ་ཉིན་ཁ་ཤས་ཀྱི་དུས་ཚོད་སྤྱད་དེ་དངོས་ཟོག་འབེབས་པ་དང་འགག་སྒོ་ལས་སྒྲོལ་ཐུབ།
最快的方法就是把它作为托运行李承运。根据航空公司规定，禁止载运未登机旅客的行李，而这时就需要你在场。	མགྱོགས་ཤོས་ཀྱི་ཐབས་ཤེས་ནི་དེ་རྡོག་ཁྲེས་དབོར་འདྲེན་གྱི་འགན་ལེན་དུ་རྩིས་རྒྱུ་དེ་རེད།མཁའ་འགྲུལ་ཀུང་སིའི་གཏན་འབེབས་ལ་གཞིགས་ན།གནམ་གྲུར་འཛུལ་མེད་པའི་འགྲུལ་པ་བླུགས་མི་ཆོག་པའི་འགྲུལ་ཆས་དབོར་མི་ཆོག་ལ་དེ་དུས་རང་དེ་གར་ཡོད་དགོས་ཀྱི་རེད།
乘坐头等舱或商务舱最明显的方式是花一大笔钱来享受这种特权（或者，更好的方式是让你的公司给你出钱乘坐）。	གནམ་གྲུ་རིམ་པ་ཨང་དང་པོར་སྡོད་པའམ་ཡང་ན་ཚོང་དོན་རིམ་པ་མངོན་གསལ་དོད་ཤོས་ཀྱི་བྱ་ཐབས་ནི་དངུལ་མང་པོ་བཏང་ནས་དམིགས་བསལ་དབང་ཆ་དེ་རིགས་ལོངས་སྤྱོད་བྱེད་པའམ་ཡང་ན་དེ་བས་ལེགས་པའི་བྱ་ཐབས་ནི་རང་གི་ཀུང་སིས་རང་ལ་དངུལ་སྤྲད་ནས་སྡོད་དུ་འཇུག་རྒྱུ་དེ་རེད།
然而，这并不便宜：根据粗略估算，商务舱的票价可能是普通经济舱的 4 倍，头等舱的票价更是 11 倍之高！	འོན་ཀྱང་དེ་གོང་ཁེ་པོ་མེད།  ཚོད་རྩིས་རགས་ཙམ་བྱས་པར་གཞིགས་ན།  ཚོང་དོན་གནམ་གྲུའི་སྤ་སེའི་རིན་གོང་སྤྱིར་བཏང་དཔལ་འབྱོར་གྲུ་ཚང་གི་ལྡབ་4ཡིན་པ་དང་གནམ་གྲུའི་རིམ་པ་དང་པོའི་སྤ་སེའི་རིན་གོང་ལྡབ་11ལས་མཐོ་བ་ཡོད།
一般来说，从 A 地直飞 B 地，压根没必要去找商务舱或头等舱的打折机票。	སྤྱིར་བཏང་ནས་བཤད་ན།Aས་ཐད་འཕུར་གནམ་གྲུ་Bས་ནས་བཤད་ན།རྩ་བ་ཉིད་ནས་ཚོང་དོན་གནམ་གྲུའི་རྐུབ་སྟེགས་སམ་མཐོ་རིམ་སྒམ་གྱི་རིན་གོང་གཅོག་པའི་གནམ་གྲུའི་པ་སེ་འཚོལ་དགོས་དོན་མེད།
航空公司非常清楚，有一些核心乘客愿花高价获得快速、舒适出行的特权，因此航空公司会相应地收取费用。	མཁའ་འགྲུལ་ཀུང་སིས་འགྲུལ་པ་གཙོ་བོ་ཁག་གཅིག་གིས་རིན་གོང་མཐོ་པོ་སྤྲད་ནས་མགྱོགས་མྱུར་དང་བག་ཕེབས་ངང་ཕྱིར་སྐྱོད་པའི་དམིགས་བསལ་དབང་ཆ་རག་འདོད་བྱེད་ཀྱི་ཡོད་པས། དེ་མཚུངས་ཀྱི་འགྲོ་གྲོན་བསྡུ་བྱེད་པ། མཁའ་འགྲུལ་ཀུང་སིས་གསལ་པོ་ཤེས་ཀྱི་ཡོད་པ་རེད། 
摩尔多瓦的首都是基希讷乌。当地语言是罗马尼亚语，但俄语也被广泛使用。	མོར་ཏུའོ་ཝའི་རྒྱལ་ས་ནི་ཅི་ཞི་ན་ཝུའུ་ཡིན། ས་གནས་དེ་གའི་སྐད་ཡིག་ནི་རོ་མ་ནི་ཡའི་སྐད་ཡིག་ཡིན་མོད།འོན་ཀྱང་ཨུ་རུ་སུའི་སྐད་ཡིག་ཀྱང་རྒྱ་ཁྱབ་ངང་སྤྱོད་ཀྱི་ཡོད།
摩尔多瓦是一个多民族共和国，饱受民族冲突之苦。	མོར་ཏུའོ་ཝ་ནི་མི་རིགས་མང་བའི་སྤྱི་མཐུན་རྒྱལ་ཁབ་ཅིག་ཡིན་པས་མི་རིགས་བར་གྱི་གདོང་ཐུག་གི་སྡུག་བསྔལ་མྱངས་བཞིན་ཡོད།
电视报道显示，有白烟从工厂里冒出。	བརྙན་འཕྲིན་གནས་ཚུལ་ལས་མངོན་པར་གཞིགས་ན།དུ་བ་དཀར་པོ་བཟོ་གྲྭ་ནས་འཕྱུར་ཡོང་།
1994 年，这场冲突导致摩尔多瓦东部自诩为德涅斯特河沿岸共和国的成立。该共和国有自己的政府和货币，但没有得到任何联合国成员国的认可。	1994ལོར་གདོང་ཐུག་དེས་མོར་ཏུའོ་ཝའི་ཤར་རྒྱུད་དུ་སྡེ་ཉེ་སི་ཐེ་གཙང་པོའི་འགྲམ་རྒྱུད་སྤྱི་མཐུན་རྒྱལ་ཁབ་དབུ་བརྙེས་པར་རང་བསྟོད་བྱས་པ་རེད།སྤྱི་མཐུན་རྒྱལ་ཁབ་དེར་རང་ཉིད་ཀྱི་སྲིད་གཞུང་དང་དངུལ་ལོར་ཡོད་མོད།འོན་ཀྱང་མཉམ་འབྲེལ་རྒྱལ་ཚོགས་ཀྱི་ཁོངས་མིའི་རྒྱལ་ཁབ་གང་རུང་གི་ཁས་ལེན་ཐོབ་མེད།
尽管政治谈判失败，但摩尔多瓦这两个地区的经济联系得以重建。	ཆབ་སྲིད་གྲོས་མོལ་ལ་ཕམ་ཉེས་བྱུང་མོད།འོན་ཀྱང་མོ་ཨར་ཏུའོ་ཝའི་ས་ཁུལ་གཉིས་ཀྱི་དཔལ་འབྱོར་འབྲེལ་བ་བསྐྱར་སྐྲུན་བྱུང་ཡོད།
摩尔多瓦 (Moldova) 的主要宗教是东正教。	མོ་ཨར་དོ་ཝའི་ (Moldova) ཆོས་ལུགས་གཙོ་བོ་ནི་དངོས་རྒྱུད་ཆོས་ལུགས་ཤར་མ་ཡིན།
伊兹密尔是土耳其第三大城市，人口约 370 万，它是土耳其第二大港口，仅次于伊斯坦布尔，它也是一个繁忙的交通枢纽。	དབྱི་ཙི་སྨིར་ནི་ཐུར་ཁེའི་གྲོང་ཁྱེར་ཆེན་པོ་ཨང་གསུམ་པ་ཡིན་ཞིང་། མི་འབོར་ཁྲི་370ཙམ་ཡོད་པ་དང་། འདི་ནི་ཡེ་སི་ཐན་པིར་འཕྲོ་ཡི་ཐུར་ཁེའི་གྲུ་ཁ་གཉིས་པ་ཡིན་པ་དང་། དེ་ཡང་བྲེལ་འཚུབ་ཆེ་བའི་འགྲིམ་འགྲུལ་ལྟེ་གནས་ཤིག་རེད།
曾经是士麦那 (Smyrna) 古城，如今已成为一个现代化、发达且繁忙的商业中心，周围是巨大的海湾和群山。	སྔོན་ཆད་ཧྲི་མའེ་ན（Smyrna）གནའ་གྲོང་ཞིག་ཡིན་ཞིང་། ད་ཆ་དེང་རབས་ཅན་དང་དར་རྒྱས་ཆེ་ལ་བྲེལ་ཟིང་ཆེ་བའི་ཚོང་ལས་ལྟེ་གནས་ཤིག་ཏུ་གྱུར་ཡོད་ཅིང་། མཐའ་འཁོར་ནི་མཚོ་ཁུག་དང་རི་ཚོགས་ཧ་ཅང་ཆེན་པོ་ཞིག་རེད།
在宽阔的林荫大道、玻璃外墙的建筑和现代化的购物中心之间，散布着传统的红瓦屋顶、18 世纪的市场以及古老的清真寺和教堂，不过这座城市比传统的土耳其更有地中海欧洲的氛围。	ནགས་གསེབ་ཡངས་པའི་ལམ་ཆེན་དང་།ཤེལ་སྒོའི་ཕྱིའི་གྱང་གི་འཛུགས་སྐྲུན།དེང་རབས་ཅན་གྱི་ཉོ་སྒྲུབ་ལྟེ་གནས་བཅས་ཀྱི་བར་དུ་སྲོལ་རྒྱུན་གྱི་རྫ་གཡམ་དམར་པོའི་ཁང་ཀླད་དང་།དུས་རབས་18པའི་ཁྲོམ་ར།གནའ་བོའི་དབྱི་སི་ལམ་ཆོས་ཁང་དང་ཆོས་ཁང་བཅས་ཁྱབ་ཡོད་མོད།འོན་ཀྱང་གྲོང་ཁྱེར་འདིར་སྲོལ་རྒྱུན་གྱི་ཐུར་ཁེ་ལས་ས་དབུས་རྒྱ་མཚོའི་རྣམ་པ་ཟབ་མོ་ཡོད།
在哈尔达斯维克村 (Haldarsvík) 可以欣赏附近依斯特洛伊岛 (Eysturoy) 的美景。村中有一个与众不同的八角形教堂。	ཧར་ཏ་སི་ཝེ་ཁེ་གྲོང་ཚོའི་(Haldarsvík) ཉེ་འདབས་ཀྱི་དབྱི་སི་ཐེ་ལོ་དབྱིའི་གླིང་ཕྲན་(Eysturoy) གྱི་མཛེས་ལྗོངས་ལ་རོལ་མྱོང་བྱེད་ཐུབ། སྡེ་བའི་ནང་དུ་གཞན་དང་མི་འདྲ་བའི་ཟུར་བརྒྱད་ཆོས་ཁང་ཞིག་ཡོད།
